collection_key,sequence,coptic_month,coptic_day,coptic_day_key,calendar_key,toc_label,reading_section_start_page,source_key,source_title,source_edition,source_url,source_locator,membership_status,membership_verdict,membership_basis,verification_status
foundational-43-baramoudah-23,43,Baramoudah,23,Baramoudah 23,Baramoudah 23,23 Baramoudah,388,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 388",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-44-baramoudah-27,44,Baramoudah,27,Baramoudah 27,Baramoudah 27,27 Baramoudah,396,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 396",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-45-baramoudah-30,45,Baramoudah,30,Baramoudah 30,Baramoudah 30,30 Baramoudah,404,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 404",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-46-bashans-01,46,Bashans,1,Bashans 1,Bashans 1,1 Bashans,413,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 413",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-47-bashans-10,47,Bashans,10,Bashans 10,Bashans 10,10 Bashans,423,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 423",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-48-bashans-20,48,Bashans,20,Bashans 20,Bashans 20,20 Bashans,431,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 431",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-49-bashans-24,49,Bashans,24,Bashans 24,Bashans 24,24 Bashans,439,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 439",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-50-bashans-26,50,Bashans,26,Bashans 26,Bashans 26,26 Bashans,448,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 448",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-51-baunah-02,51,Baunah,2,Baunah 2,Baunah 2,2 Baunah,456,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 456",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-52-baunah-16,52,Baunah,16,Baunah 16,Baunah 16,16 Baunah,465,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 465",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-53-baunah-30,53,Baunah,30,Baunah 30,Baunah 30,30 Baunah,473,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 473",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-54-abib-03,54,Abib,3,Abib 3,Abib 3,3 Abib,481,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 481",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-55-abib-05,55,Abib,5,Abib 5,Abib 5,5 Abib,491,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 491",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-56-abib-20,56,Abib,20,Abib 20,Abib 20,20 Abib,500,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 500",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-57-misra-03,57,Misra,3,Misra 3,Misra 3,3 Misra,507,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 507",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-58-misra-13,58,Misra,13,Misra 13,Misra 13,13 Misra,515,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 515",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-59-misra-17,59,Misra,17,Misra 17,Misra 17,17 Misra,524,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 524",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-60-misra-25,60,Misra,25,Misra 25,Misra 25,25 Misra,532,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 532",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-61-misra-26,61,Misra,26,Misra 26,Misra 26,26 Misra,540,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 540",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-62-misra-28,62,Misra,28,Misra 28,Misra 28,28 Misra,547,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 547",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-63-misra-29,63,Misra,29,Misra 29,Misra 29,29 Misra,555,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 555",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-64-misra-30,64,Misra,30,Misra 30,Misra 30,30 Misra,562,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 562",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-65-al-nasi-01,65,Al-Nasi,1,Al-Nasi 1,Al-Nasi 1,1 Al-Nasi,569,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 569",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-66-al-nasi-02,66,Al-Nasi,2,Al-Nasi 2,Al-Nasi 2,2 Al-Nasi,579,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 579",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-67-al-nasi-03,67,Al-Nasi,3,Al-Nasi 3,Al-Nasi 3,3 Al-Nasi,586,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 586",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-68-al-nasi-04,68,Al-Nasi,4,Al-Nasi 4,Al-Nasi 4,4 Al-Nasi,595,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 595",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-69-al-nasi-06,69,Al-Nasi,6,Al-Nasi 6,Al-Nasi 6,6 Al-Nasi,602,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 602",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
