service_family,service_variant,section,reading_type,raw_ref,source_title,source_url,source_page,notes,canonical_ref
funeral,male_children_main,part_4,pauline,1 Thessalonians 4:13-18,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Funeral service for male children.,1Thess 4:13-18
funeral,male_children_main,part_4,psalm,Psalm 27:10; Psalm 116:6,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Printed as Psalms (26) 27:10 and (114) 116:6.,Ps 27:10; Psalm 116:6
funeral,male_children_main,part_4,gospel,Luke 7:11-16,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Funeral service for male children.,Lk 7:11-16
funeral,male_children_at_burial_site,at_burial_site,old_testament,1 Kings 17:17-24,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,At the burial site for male children.,1Kgs 17:17-24
funeral,female_children_main,part_5,pauline,1 Corinthians 15:50-58,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Funeral service for female children.,1Cor 15:50-58
funeral,female_children_main,part_5,psalm,Psalm 39:12-13,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (38) 39:12-13.,Ps 39:12-13
funeral,female_children_main,part_5,gospel,Matthew 9:18-26,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Funeral service for female children.,Matt 9:18-26
funeral,female_children_passion_week,at_burial_site_override,old_testament,Judges 11:30-40,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Passion Week burial-site override for female children.,Judg 11:30-40
funeral,third_day_and_memorials,part_6,pauline,Romans 5:6-15,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Third-day and other memorial prayers.,Rom 5:6-15
funeral,third_day_and_memorials,part_6,psalm,Psalm 38:21-22,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (37) 38:21-22.,Ps 38:21-22
funeral,third_day_and_memorials,part_6,gospel,John 11:38-45,The Funeral Prayers,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf,https://saintbishoy.ca/service-books/,Third-day and other memorial prayers.,Jn 11:38-45
pentecost_prostration,first_prostration,main_readings,old_testament,Deuteronomy 5:23-33; Deuteronomy 6:1-3,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,First Pentecost prostration prophecy; summary page identifies the exact section.,Deut 5:23-33; Deuteronomy 6:1-3
pentecost_prostration,first_prostration,main_readings,pauline,1 Corinthians 12:28-31; 1 Corinthians 13:1-12,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,First Pentecost prostration Pauline from the rite summary.,1Cor 12:28-31; 1 Corinthians 13:1-12
pentecost_prostration,first_prostration,main_readings,psalm,Psalm 97:7-8; Psalm 97:1,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm 97:7,8,1 in the rite book.",Ps 97:7-8; Psalm 97:1
pentecost_prostration,first_prostration,main_readings,gospel,John 17:1-26,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,First Pentecost prostration Gospel.,Jn 17:1-26
pentecost_prostration,second_prostration,main_readings,old_testament,Deuteronomy 6:17-25,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,Second Pentecost prostration prophecy from the rite summary.,Deut 6:17-25
pentecost_prostration,second_prostration,main_readings,pauline,1 Corinthians 13:13-14:17,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,Second Pentecost prostration Pauline; exact line confirmed in the rite book.,1Cor 13:13-14:17
pentecost_prostration,second_prostration,main_readings,psalm,Psalm 115:12-13,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,Second Pentecost prostration Psalm.,Ps 115:12-13
pentecost_prostration,second_prostration,main_readings,gospel,Luke 24:36-53,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,Second Pentecost prostration Gospel.,Lk 24:36-53
pentecost_prostration,third_prostration,main_readings,old_testament,Deuteronomy 16:1-18,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,Third Pentecost prostration prophecy; exact section confirmed in the rite book.,Deut 16:1-18
pentecost_prostration,third_prostration,main_readings,pauline,1 Corinthians 14:18-40,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,Third Pentecost prostration Pauline from the rite summary.,1Cor 14:18-40
pentecost_prostration,third_prostration,main_readings,psalm,Psalm 66:4; Psalm 72:11,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,Third Pentecost prostration Psalm; exact line confirmed in the rite book.,Ps 66:4; Psalm 72:11
pentecost_prostration,third_prostration,main_readings,gospel,John 4:1-24,Rites of the Prayers of Prostration,https://saintbishoy.ca/wp-content/uploads/Rites_Prostrations.pdf,https://saintbishoy.ca/service-books/,Third Pentecost prostration Gospel; exact line confirmed in the rite book.,Jn 4:1-24
cornerstone_prayer,main,foundation_cornerstone,old_testament,Genesis 28:10-31,Rites of Consecrations,https://copticbook.wordpress.com/wp-content/uploads/2023/06/consecrations-ar-en-cop.pdf,https://saintbishoy.ca/service-books/,Foundation cornerstone prophecy for a new church.,Gen 28:10-31
cornerstone_prayer,main,foundation_cornerstone,pauline,Hebrews 9:1-10,Rites of Consecrations,https://copticbook.wordpress.com/wp-content/uploads/2023/06/consecrations-ar-en-cop.pdf,https://saintbishoy.ca/service-books/,Foundation cornerstone Pauline.,Heb 9:1-10
cornerstone_prayer,main,foundation_cornerstone,psalm,Psalm 127:1; Psalm 122:1-2,Rites of Consecrations,https://copticbook.wordpress.com/wp-content/uploads/2023/06/consecrations-ar-en-cop.pdf,https://saintbishoy.ca/service-books/,Foundation cornerstone Psalm set printed before the Gospel reading.,Ps 127:1; Psalm 122:1-2
cornerstone_prayer,main,foundation_cornerstone,gospel,Luke 9:28-35,Rites of Consecrations,https://copticbook.wordpress.com/wp-content/uploads/2023/06/consecrations-ar-en-cop.pdf,https://saintbishoy.ca/service-books/,Foundation cornerstone Gospel.,Lk 9:28-35
myron_consecration,consecration_day,vespers,psalm,Psalm 23:5-6,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Printed as Psalm 22:5-6 in source numbering; quote matches Psalm 23:5-6 in modern numbering.,Ps 23:5-6
myron_consecration,consecration_day,vespers,gospel,Luke 23:50-56; Luke 24:1-12,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Vespers Gospel on the Day of Consecration.,Lk 23:50-56; Luke 24:1-12
myron_consecration,consecration_day,matins,psalm,Psalm 51:12-13,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Printed as Psalm 50:12-13 in source numbering; quote matches Psalm 51:12-13 in modern numbering.,Ps 51:12-13
myron_consecration,consecration_day,matins,gospel,Mark 16,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Matins Gospel printed as Mark chapter 16 whole.,Mark 16
myron_consecration,consecration_day,liturgy,pauline,Hebrews 9:11-28; Hebrews 10:1-24,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Pauline for the Day of Consecration.,Heb 9:11-28; Hebrews 10:1-24
myron_consecration,consecration_day,liturgy,catholic,1 John 4:7-21; 1 John 5:1-21,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Catholic Epistle for the Day of Consecration; visual extraction indicates 1 John 5:1-21 despite OCR noise.,1Jn 4:7-21; 1 John 5:1-21
myron_consecration,consecration_day,liturgy,acts,Acts 13:13-49,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Acts / Praxis for the Day of Consecration.,Acts 13:13-49
myron_consecration,consecration_day,liturgy,psalm,Psalm 45:7-8,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Printed as Psalm 44:10-11 in source numbering; quote matches Psalm 45:7-8 in modern numbering.,Ps 45:7-8
myron_consecration,consecration_day,liturgy,psalm,Psalm 89:20-21,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Printed as Psalm 88:14-15 in source numbering; quote matches Psalm 89:20-21 in modern numbering.,Ps 89:20-21
myron_consecration,consecration_day,liturgy,gospel,John 19:38-42; John 20:1-18,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 34-37,Liturgy Gospel for the Day of Consecration.,Jn 19:38-42; John 20:1-18
myron_consecration,first_week_day_1,matins,psalm,Psalm 51:7-8,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,Printed as Psalm 50:7-8 in source numbering; quote matches Psalm 51:7-8.,Ps 51:7-8
myron_consecration,first_week_day_1,matins,gospel,John 1:18-42,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,Morning Gospel for first week day 1.,Jn 1:18-42
myron_consecration,first_week_day_1,liturgy,pauline,Hebrews 7:26-28; Hebrews 8; Hebrews 9:1-10,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 1 Pauline.,Heb 7:26-28; Hebrews 8; Hebrews 9:1-10
myron_consecration,first_week_day_1,liturgy,catholic,1 Peter 3:8-22; 1 Peter 4:1-11,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 1 Catholic Epistle.,1Pet 3:8-22; 1 Peter 4:1-11
myron_consecration,first_week_day_1,liturgy,acts,Acts 18:24-28; Acts 19:1-20,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 1 Acts / Praxis.,Acts 18:24-28; Acts 19:1-20
myron_consecration,first_week_day_1,liturgy,psalm,Psalm 132:1,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 1 liturgy psalm; source numbering preserved as printed.,Ps 132:1
myron_consecration,first_week_day_1,liturgy,gospel,Matthew 26:6-13,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 1 liturgy Gospel.,Matt 26:6-13
myron_consecration,first_week_day_2,matins,psalm,Psalm 28:3-4,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 2 morning psalm; source numbering preserved as printed.,Ps 28:3-4
myron_consecration,first_week_day_2,matins,gospel,John 3:22-36; John 4:1-2,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 2 morning Gospel.,Jn 3:22-36; John 4:1-2
myron_consecration,first_week_day_2,liturgy,pauline,Hebrews 1:1-14; Hebrews 2:1-4,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 2 Pauline.,Heb 1:1-14; Hebrews 2:1-4
myron_consecration,first_week_day_2,liturgy,catholic,1 Peter 1:10-25; 1 Peter 2:1-10,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 2 Catholic Epistle.,1Pet 1:10-25; 1 Peter 2:1-10
myron_consecration,first_week_day_2,liturgy,acts,Acts 2:22-47; Acts 3:1-10,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 2 Acts / Praxis.,Acts 2:22-47; Acts 3:1-10
myron_consecration,first_week_day_2,liturgy,psalm,Psalm 129:2-5,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 2 liturgy psalm; source numbering preserved as printed.,Ps 129:2-5
myron_consecration,first_week_day_2,liturgy,gospel,Mark 14:3-9,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 2 liturgy Gospel.,Mark 14:3-9
myron_consecration,first_week_day_3,matins,psalm,Psalm 31:1-2,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 3 morning psalm; source numbering preserved as printed.,Ps 31:1-2
myron_consecration,first_week_day_3,matins,gospel,John 3:1-21,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 3 morning Gospel.,Jn 3:1-21
myron_consecration,first_week_day_3,liturgy,pauline,Titus 2:11-15; Titus 3:1-7,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 3 Pauline.,Titus 2:11-15; Titus 3:1-7
myron_consecration,first_week_day_3,liturgy,catholic,1 John 5:5-13,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 3 Catholic Epistle.,1Jn 5:5-13
myron_consecration,first_week_day_3,liturgy,acts,Acts 8:26-39,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 3 Acts / Praxis.,Acts 8:26-39
myron_consecration,first_week_day_3,liturgy,psalm,Psalm 65:1; Psalm 65:6,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 3 liturgy psalm.,Ps 65:1; Psalm 65:6
myron_consecration,first_week_day_3,liturgy,gospel,Matthew 28:16-20,Meron and Galileon Rite (Arabic),https://copticbook.wordpress.com/wp-content/uploads/2023/06/meron-and-galileon-ar.pdf,OCR + visual extraction from pages 35-37,First week day 3 liturgy Gospel.,Matt 28:16-20
home_blessing,main,main_readings,pauline,Romans 8:14-21,Rites of Blessing Houses,https://saintbishoy.ca/wp-content/uploads/Rites_Blessing_Houses.pdf,https://saintbishoy.ca/service-books/,Main Pauline for house blessing.,Rom 8:14-21
home_blessing,main,main_readings,psalm,Psalm 102:1-2,Rites of Blessing Houses,https://saintbishoy.ca/wp-content/uploads/Rites_Blessing_Houses.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm 102:1-2.,Ps 102:1-2
home_blessing,main,main_readings,gospel,Luke 19:1-10,Rites of Blessing Houses,https://saintbishoy.ca/wp-content/uploads/Rites_Blessing_Houses.pdf,https://saintbishoy.ca/service-books/,Main Gospel for house blessing.,Lk 19:1-10
liturgy_of_the_waters,epiphany_laqan,main_readings,pauline,1 Corinthians 10:1-13,Rites of Laqan for the Feast of Theophany (Epiphany),https://saintbishoy.ca/wp-content/uploads/Rites_Laqan_Epiphany.pdf,https://saintbishoy.ca/service-books/,Main Pauline for the Epiphany Laqan / waters rite.,1Cor 10:1-13
liturgy_of_the_waters,epiphany_laqan,main_readings,psalm,Psalm 114:3; Psalm 114:5,Rites of Laqan for the Feast of Theophany (Epiphany),https://saintbishoy.ca/wp-content/uploads/Rites_Laqan_Epiphany.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm 114 (113):3,5.",Ps 114:3; Psalm 114:5
liturgy_of_the_waters,epiphany_laqan,main_readings,gospel,Matthew 3:1-17,Rites of Laqan for the Feast of Theophany (Epiphany),https://saintbishoy.ca/wp-content/uploads/Rites_Laqan_Epiphany.pdf,https://saintbishoy.ca/service-books/,Main Gospel for the Epiphany Laqan / waters rite.,Matt 3:1-17
church_consecration,main,part_1,pauline,Hebrews 9:1-10,"Rites of Consecration of Churches, Altars and Vessels",https://saintbishoy.ca/wp-content/uploads/Rites_Book-2_Consecration.pdf,https://saintbishoy.ca/service-books/,Main Pauline in church consecration section.,Heb 9:1-10
church_consecration,main,part_1,psalm,Psalm 127:1; Psalm 122:1-2,"Rites of Consecration of Churches, Altars and Vessels",https://saintbishoy.ca/wp-content/uploads/Rites_Book-2_Consecration.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm (126) 127:1 and Psalm (121) 122:1,2.",Ps 127:1; Psalm 122:1-2
church_consecration,main,part_1,gospel,Luke 9:28-35,"Rites of Consecration of Churches, Altars and Vessels",https://saintbishoy.ca/wp-content/uploads/Rites_Book-2_Consecration.pdf,https://saintbishoy.ca/service-books/,Main Gospel in church consecration section.,Lk 9:28-35
altar_consecration,main,part_3,pauline,Hebrews 13:10-16,"Rites of Consecration of Churches, Altars and Vessels",https://saintbishoy.ca/wp-content/uploads/Rites_Book-2_Consecration.pdf,https://saintbishoy.ca/service-books/,Main Pauline in altar consecration section.,Heb 13:10-16
altar_consecration,main,part_3,psalm,Psalm 23; Psalm 24; Psalm 26; Psalm 27; Psalm 85; Psalm 93,"Rites of Consecration of Churches, Altars and Vessels",https://saintbishoy.ca/wp-content/uploads/Rites_Book-2_Consecration.pdf,https://saintbishoy.ca/service-books/,The altar consecration section explicitly gives a psalm set across the two incense offerings before the Pauline and Gospel.,Ps 23; Psalm 24; Psalm 26; Psalm 27; Psalm 85; Psalm 93
altar_consecration,main,part_3,gospel,Luke 19:1-10,"Rites of Consecration of Churches, Altars and Vessels",https://saintbishoy.ca/wp-content/uploads/Rites_Book-2_Consecration.pdf,https://saintbishoy.ca/service-books/,Main Gospel in altar consecration section.,Lk 19:1-10
