mt_psalm,lxx_psalm,map_direction,mapping_scope,confidence,validation_basis,note
123,122,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
124,123,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
125,124,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
126,125,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
127,126,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
128,127,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
129,128,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
130,129,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
131,130,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
132,131,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
133,132,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
134,133,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
135,134,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
136,135,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
137,136,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
138,137,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
139,138,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
140,139,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
141,140,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
142,141,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
143,142,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
144,143,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
145,144,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
146,145,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
147,147,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
148,148,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
149,149,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
150,150,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
none,151,lxx_only,lxx_unique_chapter,high_chapter,Coptic canon includes Psalm 151 in the LXX tradition,No MT counterpart.
Ps 51:4,Ps 50:6,example_ref,anchored_verse_example,high,content compared: Brenton LXX Ps 50:6 with KJV Ps 51:4,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 33:10,Ps 32:10,example_ref,anchored_verse_example,high,content compared: Brenton LXX Ps 32:10 with KJV Ps 33:10,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 42:5,Ps 41:6,example_ref,anchored_verse_example,high,content compared: Brenton LXX Ps 41:6 with KJV Ps 42:5,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 84:1,Ps 83:2,example_ref,anchored_verse_example,high,content compared: Brenton LXX Ps 83:2 with KJV Ps 84:1,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 84:4,Ps 83:5,example_ref,anchored_verse_example,high,content compared: Brenton LXX Ps 83:5 with KJV Ps 84:4,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 41:5-7,Ps 40:6-8,example_ref,anchored_verse_example,high,content compared: Brenton LXX Ps 40:6-8 with KJV Ps 41:5-7,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 6:1-2,Ps 6:2-3,example_ref,anchored_verse_example,high,content compared: Brenton LXX Ps 6:2-3 with KJV Ps 6:1-2,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 69:16,Ps 68:17,example_ref,anchored_verse_example,high,content compared: Brenton LXX Ps 68:17 with KJV Ps 69:16,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 63:1,Ps 62,example_ref,unresolved_verse_offset_example,medium,chapter seam verified; exact verse needs text check,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
Ps 68:17,Ps 67,example_ref,unresolved_verse_offset_example,medium,chapter seam verified; Hatur 8 exact verse needs text check,Reference-level seam example used by the verifier and audit notes. This is not a complete verse-by-verse Psalm alignment.
