old_occasion,identity_key,display_ref,service_section,service_hour,slot,slot_type,presentation_duplicate_rows,specific_coptic_day_count,specific_coptic_days,source_row_ids,validated,source_of_confusion,fix
annual fixed Coptic day,rid_34262fb65806137794a6,Mark 10:35-45,liturgy_gospel,,liturgy_gospel,gospel,8,8,Abib 23; Babah 29; Baramhat 6; Hatur 27; Hatur 5; Kiyahk 16; Mesra 10; Mesra 17,737; 819; 1104; 1365; 2349; 4025; 4217; 4299,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_35ae379687565bb9e4c8,Mark 12:18-27,liturgy_gospel,,liturgy_gospel,gospel,1,1,Mesra 28,4433,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_3ce0baee5d7a9bf86c38,Lk 1:1-25,liturgy_gospel,,liturgy_gospel,gospel,5,5,Amshir 16; Hatur 11; Kiyahk 13; Mesra 7; Tut 26,307; 892; 1326; 2091; 4181,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_3de258c188865885d6f4,Lk 10:1-20,liturgy_gospel,,liturgy_gospel,gospel,16,16,Abib 6; Amshir 4; Babah 22; Babah 26; Baramhat 19; Barmuda 15; Barmuda 29; Bashans 22; Bashans 3; Baunah 1; Baunah 25; Kiyahk 18; Tubah 1; Tubah 20; Tut 15; Tut 24,189; 283; 647; 700; 1385; 1534; 1775; 1937; 2501; 2823; 2986; 3033; 3270; 3389; 3685; 3824,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_3fdf8667f8239980ee84,Jn 1:43-51,liturgy_gospel,,liturgy_gospel,gospel,1,1,Hatur 8,859,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_58ca0ac095b0a3bf0ad2,Lk 1:57-80,liturgy_gospel,,liturgy_gospel,gospel,1,1,Baunah 30,3750,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_597c62224c90cc3de744,Jn 21:15-25,liturgy_gospel,,liturgy_gospel,gospel,7,7,Abib 16; Al-Nasi 1; Amshir 29; Barmuda 16; Bashans 16; Kiyahk 24; Tubah 4,1451; 1574; 2260; 2834; 3194; 3947; 4470,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_5c9d7dc851a15823998d,Lk 2:1-20,liturgy_gospel,,liturgy_gospel,gospel,1,1,Kiyahk 28,1499,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_63d8fe7a9e9154128ec5,Lk 12:1-12,liturgy_gospel,,liturgy_gospel,gospel,16,16,Abib 12; Abib 21; Abib 24; Abib 4; Amshir 6; Babah 10; Babah 4; Baramhat 13; Baunah 15; Baunah 4; Hatur 15; Hatur 19; Kiyahk 8; Mesra 1; Mesra 9; Tubah 28,411; 489; 946; 1000; 1259; 1871; 1962; 2428; 3428; 3558; 3800; 3899; 4003; 4037; 4116; 4205,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_69dca3a06350d985f513,Lk 6:12-23,liturgy_gospel,,liturgy_gospel,gospel,1,1,Al-Nasi 2,4483,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_6e1ac90c24fcf4391a9b,Lk 14:25-35,liturgy_gospel,,liturgy_gospel,gospel,12,12,Abib 15; Amshir 30; Amshir 9; Bashans 14; Bashans 2; Bashans 21; Bashans 29; Baunah 24; Kiyahk 17; Mesra 3; Tut 14; Tut 19,176; 233; 1375; 1999; 2270; 3020; 3174; 3257; 3359; 3672; 3936; 4135,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_7315e3eb01077d30448f,Matt 18:10-20,liturgy_gospel,,liturgy_gospel,gospel,2,2,Bashans 10; Mesra 8,3119; 4193,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_78d85f1ef4f51d90b1af,Mark 9:33-41,liturgy_gospel,,liturgy_gospel,gospel,5,5,Abib 7; Amshir 2; Babah 20; Kiyahk 25; Kiyahk 7,625; 1248; 1465; 1915; 3838,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_7c71f36964601d23c46a,Matt 23:13-36,liturgy_gospel,,liturgy_gospel,gospel,18,18,Amshir 26; Babah 21; Baramhat 23; Barmuda 5; Barmuda 7; Bashans 5; Baunah 20; Baunah 26; Baunah 9; Kiyahk 20; Kiyahk 5; Mesra 22; Mesra 4; Tubah 15; Tut 25; Tut 4; Tut 6; Tut 8,54; 75; 104; 295; 637; 1217; 1411; 1711; 2219; 2557; 2701; 2722; 3060; 3490; 3624; 3697; 4147; 4362,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_80b8f58fe4c9388d024c,Matt 5:1-16,liturgy_gospel,,liturgy_gospel,gospel,10,10,Abib 14; Abib 8; Amshir 5; Babah 27; Baramhat 27; Bashans 18; Mesra 19; Mesra 5; Tubah 26; Tubah 9,713; 1643; 1849; 1950; 2605; 3221; 3851; 3926; 4160; 4329,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_824cb2b301393981f029,Jn 20:24-31,liturgy_gospel,,liturgy_gospel,gospel,1,1,Bashans 26,3318,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_82cf0a1f33c9591fa519,Jn 10:22-38,liturgy_gospel,,liturgy_gospel,gospel,3,3,Baramhat 10; Mesra 12; Tut 17,208; 2393; 4240,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_92aae2895a59ca365431,Matt 4:23-25,liturgy_gospel,,liturgy_gospel,gospel,10,10,Abib 14; Abib 8; Amshir 5; Babah 27; Baramhat 27; Bashans 18; Mesra 19; Mesra 5; Tubah 26; Tubah 9,712; 1642; 1848; 1949; 2604; 3220; 3850; 3925; 4159; 4328,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_9b9fb26c186e72003e9c,Matt 2:13-23,liturgy_gospel,,liturgy_gospel,gospel,4,4,Bashans 24; Baunah 8; Feast of St. Joseph the Carpenter; Tubah 3,1563; 3295; 3478; 4062,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_a26e116439fc5b82e20a,Matt 10:1-15,liturgy_gospel,,liturgy_gospel,gospel,10,10,Abib 18; Abib 29; Abib 5; Amshir 10; Amshir 21; Baramhat 8; Barmuda 17; Hatur 18; Kiyahk 21; Kiyahk 4,989; 1205; 1422; 2010; 2156; 2372; 2845; 3811; 3967; 4092,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_a2d1fdb36fa878c57dfb,Lk 2:21-39,liturgy_gospel,,liturgy_gospel,gospel,2,2,Amshir 8; Tubah 6,1596; 1989,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_a9523d0460a5ea788166,Mark 3:28-35,liturgy_gospel,,liturgy_gospel,gospel,5,5,Baramhat 11; Baramhat 14; Barmuda 21; Tut 21; Tut 23,251; 270; 2402; 2437; 2891,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_aad3c1665271c51d6931,Lk 11:53-54,liturgy_gospel,,liturgy_gospel,gospel,16,16,Abib 12; Abib 21; Abib 24; Abib 4; Amshir 6; Babah 10; Babah 4; Baramhat 13; Baunah 15; Baunah 4; Hatur 15; Hatur 19; Kiyahk 8; Mesra 1; Mesra 9; Tubah 28,410; 488; 945; 999; 1258; 1870; 1961; 2427; 3427; 3557; 3799; 3898; 4002; 4036; 4115; 4204,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_aaf28ad437b310b597f2,Jn 1:35-51,liturgy_gospel,,liturgy_gospel,gospel,1,1,Tubah 12,1677,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_ab056b3f3f04f22996b0,Jn 1:1-17,liturgy_gospel,,liturgy_gospel,gospel,1,1,Hatur 24,1068,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_aced6b77a8e9dca5153a,Matt 25:31-46,liturgy_gospel,,liturgy_gospel,gospel,2,2,Al-Nasi 3; Baunah 13,3532; 4492,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_ae9d16282b49cebed612,Mark 6:14-29,liturgy_gospel,,liturgy_gospel,gospel,1,1,Tut 2,25,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_b06fe81474d799d365ce,Matt 13:24-43,liturgy_gospel,,liturgy_gospel,gospel,2,2,Baunah 12; Hatur 12,903; 3523,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_b0ae67050e30f124dcef,Lk 21:12-19,liturgy_gospel,,liturgy_gospel,gospel,24,24,Abib 19; Abib 27; Abib 30; Baramhat 1; Baramhat 7; Barmuda 13; Barmuda 23; Barmuda 4; Bashans 6; Bashans 8; Baunah 10; Baunah 19; Baunah 22; Baunah 7; Hatur 22; Hatur 26; Hatur 7; Mesra 20; Mesra 23; Mesra 26; Mesra 27; Tubah 19; Tut 27; Tut 28,319; 331; 846; 1041; 1092; 1762; 2282; 2361; 2689; 2795; 2916; 3070; 3097; 3465; 3502; 3612; 3648; 3979; 4072; 4104; 4341; 4372; 4414; 4424,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_b642f36f2fb50973c40e,Jn 10:1-16,liturgy_gospel,,liturgy_gospel,gospel,37,37,Abib 3; Amshir 14; Amshir 18; Amshir 27; Amshir 7; Babah 11; Babah 17; Babah 2; Babah 3; Babah 5; Babah 9; Baramhat 22; Barmuda 12; Barmuda 3; Bashans 12; Bashans 28; Bashans 30; Bashans 7; Baunah 28; Hatur 1; Hatur 13; Hatur 17; Hatur 21; Hatur 30; Hatur 6; Kiyahk 1; Kiyahk 15; Kiyahk 6; Mesra 14; Mesra 18; Tubah 2; Tubah 7; Tubah 8; Tut 13; Tut 3; Tut 30; Tut 7,42; 92; 166; 357; 383; 400; 428; 478; 506; 583; 766; 836; 920; 978; 1029; 1150; 1167; 1234; 1353; 1551; 1613; 1630; 1979; 2064; 2118; 2236; 2545; 2677; 2783; 3087; 3150; 3349; 3376; 3726; 3788; 4269; 4316,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_bc960740d7aeeaf5dc88,Matt 11:2-10,liturgy_gospel,,liturgy_gospel,gospel,1,1,Baunah 2,3402,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_c21f5596a40b42fc8c99,Lk 14:16-24,liturgy_gospel,,liturgy_gospel,gospel,1,1,Mesra 30,4460,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_c36d051a3e2085e3e072,Mark 9:2-13,liturgy_gospel,,liturgy_gospel,gospel,2,2,Baramhat 21; Mesra 13,2528; 4252,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_d66d6d408de5af0f376d,Lk 12:32-44,liturgy_gospel,,liturgy_gospel,gospel,16,16,Amshir 15; Babah 24; Barmuda 9; Bashans 13; Bashans 19; Baunah 16; Baunah 17; Baunah 23; Baunah 5; Hatur 16; Kiyahk 11; Kiyahk 2; Kiyahk 9; Mesra 25; Tubah 17; Tubah 22,675; 961; 1182; 1273; 1302; 1736; 1801; 2079; 2745; 3164; 3235; 3442; 3573; 3587; 3662; 4400,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_d7ed1f003d204658d137,Lk 1:26-38,liturgy_gospel,,liturgy_gospel,gospel,3,3,Baramhat 29; Baramhat 30; Kiyahk 22,1431; 2626; 2635,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_dfa7bc8cdcabaca750e6,Mark 1:1-11,liturgy_gospel,,liturgy_gospel,gospel,7,7,Abib 2; Abib 9; Babah 30; Barmuda 30; Bashans 23; Baunah 27; Hatur 20,749; 1012; 2998; 3282; 3709; 3771; 3863,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_e2143e4d5a0ab23e8727,Jn 1:18-34,liturgy_gospel,,liturgy_gospel,gospel,1,1,Tubah 11,1666,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_e4594bee3714f661e16b,Jn 6:35-46,liturgy_gospel,,liturgy_gospel,gospel,1,1,Tut 18,219,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_ec4517317bd7a90ef923,Jn 16:20-33,liturgy_gospel,,liturgy_gospel,gospel,27,27,Abib 10; Abib 13; Al-Nasi 5; Amshir 22; Amshir 24; Babah 23; Baramhat 17; Baramhat 2; Baramhat 5; Barmuda 19; Bashans 11; Bashans 17; Bashans 27; Baunah 14; Baunah 3; Hatur 14; Hatur 23; Hatur 28; Hatur 4; Kiyahk 10; Kiyahk 19; Kiyahk 27; Mesra 11; Mesra 24; Tubah 18; Tubah 23; Tut 9,118; 661; 807; 934; 1055; 1118; 1287; 1399; 1488; 1750; 1815; 2170; 2194; 2296; 2337; 2475; 2869; 3133; 3208; 3332; 3416; 3546; 3877; 3913; 4231; 4386; 4517,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_f160e19bc54059c80ed3,Lk 1:39-56,liturgy_gospel,,liturgy_gospel,gospel,5,5,Bashans 1; Baunah 21; Kiyahk 3; Mesra 16; Tubah 21,1194; 1787; 3010; 3636; 4290,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_f3f2e73ec6afa8fb73e0,Matt 22:35-46,liturgy_gospel,,liturgy_gospel,gospel,1,1,Kiyahk 23,1440,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_fb3a08ad47a1a3648ffe,Lk 5:27-32,liturgy_gospel,,liturgy_gospel,gospel,2,2,Babah 12; Bashans 15,515; 3183,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_fcbfc9ce1b59424f7922,Lk 3:1-18,liturgy_gospel,,liturgy_gospel,gospel,1,1,Tubah 10,1653,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_fef7458fd863544fbf15,Lk 10:21-24,liturgy_gospel,,liturgy_gospel,gospel,11,11,Abib 20; Amshir 25; Amshir 28; Babah 15; Babah 19; Baramhat 18; Barmuda 2; Barmuda 20; Barmuda 24; Barmuda 26; Baunah 6,551; 611; 2207; 2249; 2488; 2660; 2882; 2929; 2951; 3455; 3992,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_0019682cd0b52779c28f,Gal 4:19-31,liturgy_pauline,,liturgy_pauline,pauline,1,1,Kiyahk 30,1515,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_061a5da1ef8a9cd07088,Heb 4:14-16,liturgy_pauline,,liturgy_pauline,pauline,15,15,Amshir 11; Amshir 20; Babah 16; Babah 18; Baramhat 12; Baramhat 16; Baramhat 20; Baramhat 24; Baramhat 3; Barmuda 14; Barmuda 22; Bashans 4; Baunah 18; Hatur 2; Hatur 29,559; 591; 774; 1126; 2018; 2138; 2304; 2410; 2454; 2509; 2565; 2803; 2899; 3041; 3595,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_08986158a59ce1cfbbda,2Cor 5:11-21,liturgy_pauline,,liturgy_pauline,pauline,1,1,Feast of Nayrouz,5,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_096cdba70816f3e51b54,1Tim 5:17-25,liturgy_pauline,,liturgy_pauline,pauline,1,1,Hatur 24,1060,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_0bff5db63a2c5e0a7e42,Phil 3:20-21,liturgy_pauline,,liturgy_pauline,pauline,10,10,Babah 24; Barmuda 9; Bashans 13; Bashans 19; Baunah 17; Baunah 23; Baunah 5; Kiyahk 9; Mesra 25; Tubah 22,669; 1267; 1795; 2739; 3158; 3229; 3436; 3581; 3656; 4392,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_10fb72da6841df7443ec,Eph 1:1-14,liturgy_pauline,,liturgy_pauline,pauline,1,1,Tubah 12,1673,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_11564142c0f83b3a97d1,1Cor 3:4-23,liturgy_pauline,,liturgy_pauline,pauline,14,14,Amshir 12; Amshir 19; Amshir 3; Babah 13; Babah 25; Babah 7; Baramhat 9; Barmuda 1; Barmuda 10; Bashans 20; Baunah 29; Kiyahk 12; Tubah 14; Tubah 25,444; 522; 682; 1309; 1694; 1831; 1922; 2032; 2125; 2379; 2642; 2752; 3242; 3733,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_13a3fbfeb15db454b8cb,Rom 3:1-31,liturgy_pauline,,liturgy_pauline,pauline,1,1,Baramhat 29,2621,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_19722b9c6693793c1415,Rom 5:1-5,liturgy_pauline,,liturgy_pauline,pauline,5,5,Amshir 1; Baramhat 4; Hatur 3; Hatur 9; Tut 12,144; 788; 866; 1896; 2318,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_1b333d5fd650d218428a,Rom 6:3-16,liturgy_pauline,,liturgy_pauline,pauline,1,1,Tubah 13,1683,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_1d2a42085c007f30b439,2Tim 2:3-15,liturgy_pauline,,liturgy_pauline,pauline,11,11,Abib 20; Amshir 25; Amshir 28; Babah 15; Babah 19; Baramhat 18; Barmuda 2; Barmuda 20; Barmuda 24; Barmuda 26; Baunah 6,545; 605; 2201; 2243; 2482; 2654; 2876; 2923; 2945; 3449; 3986,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_1d81404309efbefe30e7,Heb 12:3-14,liturgy_pauline,,liturgy_pauline,pauline,12,12,Abib 12; Abib 24; Abib 4; Amshir 6; Baunah 15; Baunah 4; Hatur 15; Mesra 1; Mesra 5; Mesra 9; Tubah 26; Tubah 28,940; 1844; 1865; 1956; 3422; 3552; 3794; 3893; 4031; 4110; 4155; 4199,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_29ed3e9dcd60d5394948,Phil 1:1-11,liturgy_pauline,,liturgy_pauline,pauline,5,5,Baramhat 11; Baramhat 14; Barmuda 21; Tut 21; Tut 23,247; 266; 2398; 2433; 2887,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2b1c323ddf9e4d81fe45,Col 2:6-19,liturgy_pauline,,liturgy_pauline,pauline,1,1,Tut 19,227,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2dc57c0891d4360e6ef2,Heb 2:5-18,liturgy_pauline,,liturgy_pauline,pauline,4,4,Al-Nasi 3; Baramhat 30; Baunah 13; Kiyahk 22,1427; 2631; 3528; 4488,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_35b75730fc9dc76fe145,Heb 13:7-25,liturgy_pauline,,liturgy_pauline,pauline,5,5,Abib 7; Amshir 2; Babah 20; Kiyahk 25; Kiyahk 7,618; 1241; 1458; 1908; 3831,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_36664cc810e9d783f822,Heb 2:1-4,liturgy_pauline,,liturgy_pauline,pauline,3,3,Baunah 12; Hatur 12; Kiyahk 29,899; 1505; 3519,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_377779f8ff1ee868fbe6,Heb 8:1-13,liturgy_pauline,,liturgy_pauline,pauline,27,27,Abib 10; Abib 13; Al-Nasi 5; Amshir 22; Amshir 24; Babah 23; Baramhat 17; Baramhat 2; Baramhat 5; Barmuda 19; Bashans 11; Bashans 17; Bashans 27; Baunah 14; Baunah 3; Hatur 14; Hatur 23; Hatur 28; Hatur 4; Kiyahk 10; Kiyahk 19; Kiyahk 27; Mesra 11; Mesra 24; Tubah 18; Tubah 23; Tut 9,113; 656; 802; 929; 1050; 1113; 1282; 1394; 1483; 1745; 1810; 2165; 2189; 2291; 2332; 2470; 2864; 3128; 3203; 3327; 3411; 3541; 3872; 3908; 4226; 4381; 4512,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_3aeaa48c3439f7b63466,Eph 2:1-22,liturgy_pauline,,liturgy_pauline,pauline,3,3,Bashans 24; Baunah 8; Feast of St. Joseph the Carpenter,3290; 3473; 4057,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_3ef55cb5e2fe8d8679ba,1Tim 6:1-2,liturgy_pauline,,liturgy_pauline,pauline,1,1,Hatur 24,1061,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_4894d98027c95908e291,Rom 4:13-25,liturgy_pauline,,liturgy_pauline,pauline,5,5,Amshir 1; Baramhat 4; Hatur 3; Hatur 9; Tut 12,143; 787; 865; 1895; 2317,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
